stock,variable,year,mean,sd,lower,upper,status
Ariidae,b_div_bmsy,2021,0.830783588619757,3.6173354940258,0.55668765039817,2.62483470174238,Fully fished
Auxis thazard,b_div_bmsy,2021,3.87517636692472e-09,7.10602773445684,1.76234145200329e-11,0.149224323213668,Overfished
Bramidae,b_div_bmsy,2021,1.12828212628067,2.57275280937983,0.717920718224827,2.31150594041986,Fully fished
Centropomus spp,b_div_bmsy,2021,0.358334015840215,5.36268294674788,0.0537885741815004,2.57844772942248,Overfished
Coryphaena hippurus,b_div_bmsy,2021,1.65702952400715,0.790568549222999,1.11528472137331,2.52116011897436,Underfished
Elasmobranchii,b_div_bmsy,2021,0.0178516167769794,7.95005657293203,1.5231168187224e-10,2.5881040247464,Overfished
Haemulidae,b_div_bmsy,2021,0.0487059096925015,8.06382800604415,1.57249094047422e-11,2.67437299656525,Overfished
Lile stolifera,b_div_bmsy,2021,0.0207910203375999,8.77851668596091,1.18693780424624e-10,3.14494090235361,Overfished
Lutjanidae,b_div_bmsy,2021,1.45390005996376,1.00787409821661,0.724936826177868,2.7984315920813,Underfished
Lutjanus spp,b_div_bmsy,2021,0.0564572133904751,7.51880308137928,6.29478338323683e-11,2.7628681253156,Overfished
Makaira nigricans,b_div_bmsy,2021,1.32474878691858,1.06875102732253,0.561035444559708,2.97181719261184,Underfished
Penaeus stylirostris,b_div_bmsy,2021,4.67941355429301e-09,10.1081864683916,1.19459756968758e-11,0.957646052440242,Overfished
Pleuronectiformes,b_div_bmsy,2021,2.3380367793963e-05,11.9690843144938,1.00344969282858e-11,1.73350983962024,Overfished
Sciaenidae,b_div_bmsy,2021,0.639119043338134,2.58836877938963,0.131450943651419,2.68883087758043,Overfished
Serranidae,b_div_bmsy,2021,0.747464892641369,3.31820099872488,0.280413838503897,2.97280254358506,Overfished
Trichiuridae,b_div_bmsy,2021,0.0257895180459961,8.43402260110434,3.12560634193045e-11,2.67736867396056,Overfished
Xiphias gladius,b_div_bmsy,2021,0.0444212181267111,5.84352820810498,2.23876561971879e-10,0.763708848039337,Overfished
