Year,All
1950,210639506.7
1951,162948428.8
1952,230300432.9
1953,289006652.7
1954,399373818.5
1955,337104624.3
1956,377935094.9
1957,409906277.4
1958,256047022.9
1959,412358641.4
1960,337441192
1961,278367296
1962,466353927.5
1963,321836081.1
1964,392161093.5
1965,289906215.9
1966,278218543.9
1967,394027505.8
1968,300239324.9
1969,294094973.4
1970,215900152.2
1971,588196368.4
1972,351810395.1
1973,198453129.1
1974,773224585.5
1975,641769220.9
1976,427775274.7
1977,851879717.8
1978,941504481.8
1979,765641960.4
1980,1272171373
1981,755872740.9
1982,716484474.1
1983,624845889.9
1984,979554909.9
1985,794330837.5
1986,972786145.6
1987,994103272.2
1988,1035010205
1989,969113753.4
1990,1025083243
1991,1069107826
1992,912704212.1
1993,671533279.2
1994,1149356729
1995,1079527343
1996,1187972211
1997,1385597735
1998,1357103768
1999,1592896766
2000,930125664.9
2001,1090560009
2002,1553583196
2003,819624920.6
2004,1323864811
2005,1288940587
2006,1176572203
2007,1406052154
2008,1234971270
2009,1002748277
2010,1332998509
2011,1586681209
2012,1462286275
2013,928744799.8
2014,1478695170
2015,1250670705
